kernel_name,core_clk_time,core_clk_energy,core_clk_edp,core_clk_ed2p,clk_es_25,clk_es_50,clk_es_75,clk_pl_25,clk_pl_50,clk_pl_75
_ZTSZZ16advec_mom_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_RNS3_IdLi1EEES7_iiiENKUlRN4sycl3_V17handlerEE_clESB_E14advec_mom_x167,1530,1012,1387,1530,1252,1177,1072,1230,1147,1072
_ZTSZZ16advec_mom_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_RNS3_IdLi1EEES7_iiiENKUlRN4sycl3_V17handlerEE0_clESB_E14advec_mom_y179,1530,1012,1387,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ16advec_mom_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_RNS3_IdLi1EEES7_iiiENKUlRN4sycl3_V17handlerEE1_clESB_E14advec_mom_x190,1530,1012,1387,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ16advec_mom_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_RNS3_IdLi1EEES7_iiiENKUlRN4sycl3_V17handlerEE2_clESB_E15advec_mom_y1101,1530,1012,1387,1530,1252,1177,1072,1230,1147,1072
_ZTSZZ16advec_mom_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_RNS3_IdLi1EEES7_iiiENKUlRN4sycl3_V17handlerEE3_clESB_E29advec_mom_dir1_vel1_node_flux,1530,1012,1387,1530,1215,1147,1005,1215,1110,1012
_ZTSZZ16advec_mom_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_RNS3_IdLi1EEES7_iiiENKUlRN4sycl3_V17handlerEE4_clESB_E33advec_mom_dir1_vel1_node_mass_pre,1530,1012,1387,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ16advec_mom_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_RNS3_IdLi1EEES7_iiiENKUlRN4sycl3_V17handlerEE5_clESB_E23advec_mom_dir1_mom_flux,1530,1012,1222,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ16advec_mom_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_RNS3_IdLi1EEES7_iiiENKUlRN4sycl3_V17handlerEE6_clESB_E19advec_mom_dir1_vel1,1530,1012,1387,1530,1252,1177,1087,1237,1162,1087
_ZTSZZ16advec_mom_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_RNS3_IdLi1EEES7_iiiENKUlRN4sycl3_V17handlerEE7_clESB_E29advec_mom_dir2_vel1_node_flux,1530,1012,1387,1530,1215,1147,1005,1215,1110,1012
_ZTSZZ16advec_mom_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_RNS3_IdLi1EEES7_iiiENKUlRN4sycl3_V17handlerEE8_clESB_E33advec_mom_dir2_vel1_node_mass_pre,1530,1012,1387,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ16advec_mom_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_RNS3_IdLi1EEES7_iiiENKUlRN4sycl3_V17handlerEE9_clESB_E23advec_mom_dir2_mom_flux,1530,1012,1170,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ16advec_mom_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_RNS3_IdLi1EEES7_iiiENKUlRN4sycl3_V17handlerEE10_clESB_E19advec_mom_dir2_vel1,1530,1012,1387,1530,1245,1177,1050,1237,1162,1087
