kernel_name,core_clk_time,core_clk_energy,core_clk_edp,core_clk_ed2p,clk_es_25,clk_es_50,clk_es_75,clk_pl_25,clk_pl_50,clk_pl_75
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE_clESC_E13update_halo54,1530,990,1387,1530,1252,1177,1072,1230,1147,1072
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE0_clESC_E13update_halo67,1530,990,1387,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE1_clESC_E13update_halo80,1530,990,1327,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE2_clESC_E13update_halo93,1530,990,1387,1530,1252,1177,1072,1230,1147,1072
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE3_clESC_E14update_halo110,1530,990,1387,1530,1215,1147,1005,1215,1110,1012
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE4_clESC_E14update_halo123,1530,990,1387,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE5_clESC_E14update_halo136,1530,990,1327,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE6_clESC_E14update_halo149,1530,990,1387,1530,1252,1177,1087,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE7_clESC_E14update_halo165,1530,990,1387,1530,1215,1147,1005,1215,1110,1012
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE8_clESC_E14update_halo178,1530,990,1387,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE9_clESC_E14update_halo191,1530,990,1327,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE10_clESC_E14update_halo204,1530,990,1387,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE11_clESC_E14update_halo221,1530,990,1387,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE12_clESC_E14update_halo234,1530,990,1387,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE13_clESC_E14update_halo247,1530,990,1327,1530,1245,1140,1050,1237,1155,1080
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE14_clESC_E14update_halo260,1530,990,1387,1530,1192,1095,1125,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE15_clESC_E14update_halo276,1530,990,1387,1530,1245,1177,1050,1237,1155,1080
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE16_clESC_E14update_halo289,1530,990,1387,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE17_clESC_E14update_halo302,1530,990,1327,1530,1245,1140,1050,1237,1155,1080
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE18_clESC_E14update_halo315,1530,990,1387,1530,1245,1155,1132,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE19_clESC_E14update_halo331,1530,990,1387,1530,1245,1177,1050,1237,1155,1080
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE20_clESC_E14update_halo344,1530,990,1387,1530,1245,1207,1140,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE21_clESC_E14update_halo357,1530,990,1327,1530,1245,1207,1140,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE22_clESC_E14update_halo370,1530,990,1387,1530,1245,1207,1140,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE23_clESC_E14update_halo386,1530,990,1387,1530,1245,1207,1140,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE24_clESC_E14update_halo399,1530,990,1387,1530,1260,1207,1020,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE25_clESC_E14update_halo412,1530,990,1327,1530,1260,1207,1020,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE26_clESC_E14update_halo425,1530,990,1387,1530,1260,1207,1020,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE27_clESC_E14update_halo442,1530,990,1387,1530,1260,1207,1020,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE28_clESC_E14update_halo455,1530,990,1387,1530,1245,1155,1087,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE29_clESC_E14update_halo468,1530,990,1327,1530,1200,1177,1035,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE30_clESC_E14update_halo481,1530,990,1387,1530,1245,1170,1035,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE31_clESC_E14update_halo497,1530,990,1387,1530,1252,1222,1020,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE32_clESC_E14update_halo510,1530,990,1387,1530,1245,1177,1035,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE33_clESC_E14update_halo523,1530,990,1327,1530,1230,1125,1035,1237,1155,1080
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE34_clESC_E14update_halo536,1530,990,1387,1530,1245,1207,1140,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE35_clESC_E14update_halo552,1530,990,1387,1530,1245,1177,1050,1237,1155,1080
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE36_clESC_E14update_halo565,1530,990,1387,1530,1252,1177,1072,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE37_clESC_E14update_halo578,1530,990,1327,1530,1215,1170,1020,1222,1140,1050
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE38_clESC_E14update_halo591,1530,990,1387,1530,1215,1170,1020,1222,1140,1050
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE39_clESC_E14update_halo607,1530,990,1387,1530,1305,1237,1147,1245,1177,1117
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE40_clESC_E14update_halo620,1530,990,1387,1530,1305,1237,1147,1245,1177,1117
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE41_clESC_E14update_halo633,1530,990,1327,1530,1245,1207,1140,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE42_clESC_E14update_halo646,1530,990,1387,1530,1245,1140,1050,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE43_clESC_E14update_halo663,1530,990,1387,1530,1245,1140,1050,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE44_clESC_E14update_halo676,1530,990,1387,1530,1245,1140,1050,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE45_clESC_E14update_halo689,1530,990,1327,1530,1245,1140,1050,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE46_clESC_E14update_halo702,1530,990,1387,1530,1132,465,457,1065,825,577
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE47_clESC_E14update_halo719,1530,990,1387,1530,1132,465,457,1065,825,577
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE48_clESC_E14update_halo732,1530,990,1387,1530,1185,1147,1162,1267,1222,1177
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE49_clESC_E14update_halo745,1530,990,1327,1530,1117,465,457,1065,825,577
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE50_clESC_E14update_halo758,1530,990,1387,1530,1252,1155,1132,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE51_clESC_E14update_halo775,1530,990,1387,1530,1215,1125,1027,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE52_clESC_E14update_halo788,1530,990,1387,1530,1245,1207,1140,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE53_clESC_E14update_halo801,1530,990,1327,1530,1245,1207,1140,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE54_clESC_E14update_halo814,1530,990,1387,1530,1245,1207,1140,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE55_clESC_E14update_halo830,1530,990,1387,1530,1245,1177,1050,1237,1155,1080
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE56_clESC_E14update_halo843,1530,990,1387,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE57_clESC_E14update_halo856,1530,990,1327,1530,1132,1147,960,1215,1110,1012
_ZTSZZ18update_halo_kernelRN7synergy5queueEiiiiRKSt5arrayIiLm4EES5_R10field_typePiiENKUlRN4sycl3_V17handlerEE58_clESC_E14update_halo869,1530,990,1387,1530,1245,1162,1072,1237,1155,1080
