kernel_name,core_clk_time,core_clk_energy,core_clk_edp,core_clk_ed2p,clk_es_25,clk_es_50,clk_es_75,clk_pl_25,clk_pl_50,clk_pl_75
_ZTSZZ25update_tile_halo_l_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE_clESB_E19upd_halo_l_density0,1530,1012,1387,1530,1252,1177,1072,1230,1147,1072
_ZTSZZ25update_tile_halo_l_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE0_clESB_E19upd_halo_l_density1,1530,1012,1387,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ25update_tile_halo_l_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE1_clESB_E18upd_halo_l_energy0,1530,1012,1387,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ25update_tile_halo_l_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE2_clESB_E18upd_halo_l_energy1,1530,1012,1387,1530,1252,1177,1072,1230,1147,1072
_ZTSZZ25update_tile_halo_l_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE3_clESB_E19upd_halo_l_pressure,1530,1012,1387,1530,1215,1147,1005,1215,1110,1012
_ZTSZZ25update_tile_halo_l_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE4_clESB_E20upd_halo_l_viscosity,1530,1012,1387,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ25update_tile_halo_l_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE5_clESB_E21upd_halo_l_soundspeed,1530,1012,1387,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ25update_tile_halo_l_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE6_clESB_E16upd_halo_l_xvel0,1530,1012,1387,1530,1252,1177,1087,1237,1162,1087
_ZTSZZ25update_tile_halo_l_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE7_clESB_E16upd_halo_l_xvel1,1530,1012,1387,1530,1215,1147,1005,1215,1110,1012
_ZTSZZ25update_tile_halo_l_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE8_clESB_E16upd_halo_l_yvel0,1530,1012,1387,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ25update_tile_halo_l_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE9_clESB_E16upd_halo_l_yvel1,1530,1012,1387,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ25update_tile_halo_l_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE10_clESB_E21upd_halo_l_vol_flux_x,1530,1012,1387,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ25update_tile_halo_l_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE11_clESB_E22upd_halo_l_mass_flux_x,1530,1012,1387,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ25update_tile_halo_l_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE12_clESB_E21upd_halo_l_vol_flux_y,1530,1012,1387,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ25update_tile_halo_l_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE13_clESB_E22upd_halo_l_mass_flux_y,1530,1012,1387,1530,1245,1140,1050,1237,1155,1080
_ZTSZZ25update_tile_halo_r_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE_clESB_E19upd_halo_r_density0,1530,990,1387,1530,1192,1095,1125,1237,1162,1087
_ZTSZZ25update_tile_halo_r_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE0_clESB_E19upd_halo_r_density1,1530,990,1387,1530,1245,1177,1050,1237,1155,1080
_ZTSZZ25update_tile_halo_r_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE1_clESB_E18upd_halo_r_energy0,1530,990,1387,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ25update_tile_halo_r_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE2_clESB_E18upd_halo_r_energy1,1530,990,1387,1530,1245,1140,1050,1237,1155,1080
_ZTSZZ25update_tile_halo_r_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE3_clESB_E19upd_halo_r_pressure,1530,990,1387,1530,1245,1155,1132,1237,1162,1087
_ZTSZZ25update_tile_halo_r_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE4_clESB_E20upd_halo_r_viscosity,1530,990,1387,1530,1245,1177,1050,1237,1155,1080
_ZTSZZ25update_tile_halo_r_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE5_clESB_E21upd_halo_r_soundspeed,1530,990,1387,1530,1245,1207,1140,1237,1162,1087
_ZTSZZ25update_tile_halo_r_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE6_clESB_E16upd_halo_r_xvel0,1530,990,1387,1530,1245,1207,1140,1237,1162,1087
_ZTSZZ25update_tile_halo_r_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE7_clESB_E16upd_halo_r_xvel1,1530,990,1387,1530,1245,1207,1140,1237,1162,1087
_ZTSZZ25update_tile_halo_r_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE8_clESB_E16upd_halo_r_yvel0,1530,990,1387,1530,1245,1207,1140,1237,1162,1087
